Category: All categories

Country,paraphraser: (1/1/04 - 11/22/22)
Philippines,100
Zimbabwe,31
Rwanda,31
Botswana,30
Cameroon,23
Ethiopia,22
Senegal,20
Somalia,18
Congo - Kinshasa,17
Zambia,17
Ghana,16
Kenya,15
Côte d’Ivoire,15
Trinidad & Tobago,14
Lebanon,12
Jamaica,12
South Africa,11
Nepal,10
Tunisia,10
Morocco,9
United Arab Emirates,9
Nigeria,8
Canada,8
Myanmar (Burma),7
Algeria,7
Australia,7
Belgium,7
France,6
Uzbekistan,6
Pakistan,6
Bangladesh,6
Qatar,6
Oman,5
Kuwait,5
Singapore,5
New Zealand,4
Jordan,4
United States,4
Puerto Rico,4
Switzerland,4
Honduras,4
Malaysia,4
Sri Lanka,4
Azerbaijan,3
Dominican Republic,3
Egypt,3
Ireland,3
Hong Kong,3
United Kingdom,2
India,2
Indonesia,2
Netherlands,2
Ecuador,2
Kazakhstan,2
Lithuania,2
Saudi Arabia,2
Greece,2
South Korea,1
Bulgaria,1
Norway,1
Colombia,1
Austria,1
Peru,1
Turkey,1
Sweden,1
Mexico,1
Romania,1
Spain,1
Iran,1
Vietnam,1
Hungary,1
Germany,<1
Thailand,<1
Argentina,<1
Taiwan,<1
Poland,<1
Italy,<1
Brazil,<1
Japan,<1
British Indian Ocean Territory,
Marshall Islands,
American Samoa,
St. Pierre & Miquelon,
St. Martin,
Solomon Islands,
Comoros,
U.S. Virgin Islands,
Guinea-Bissau,
St. Barthélemy,
Dominica,
Eswatini,
Bhutan,
Mayotte,
Gambia,
St. Lucia,
Fiji,
Gabon,
Burundi,
Grenada,
Chad,
French Polynesia,
Papua New Guinea,
Congo - Brazzaville,
Belize,
Togo,
Haiti,
Niger,
Curaçao,
Benin,
Guadeloupe,
Malawi,
Burkina Faso,
Guam,
Madagascar,
Maldives,
Lesotho,
Mali,
Guyana,
Afghanistan,
Mauritius,
Mauritania,
Bahamas,
Sierra Leone,
Bahrain,
Luxembourg,
Martinique,
Brunei,
New Caledonia,
Macao,
Uganda,
Armenia,
Mongolia,
El Salvador,
Cuba,
Iceland,
Cyprus,
Namibia,
Kosovo,
Malta,
Georgia,
St. Helena,
Iraq,
Angola,
Panama,
Laos,
Libya,
Cambodia,
Guatemala,
Moldova,
Kyrgyzstan,
Sudan,
Tanzania,
Serbia,
Latvia,
Croatia,
Syria,
Slovenia,
Bolivia,
Bosnia & Herzegovina,
Israel,
Denmark,
Uruguay,
Slovakia,
Portugal,
Venezuela,
China,
Finland,
Czechia,
Chile,
Russia,
Ukraine,
Aruba,
Anguilla,
Åland Islands,
Albania,
Andorra,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Caribbean Netherlands,
Belarus,
Bermuda,
Barbados,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Cape Verde,
Costa Rica,
Christmas Island,
Cayman Islands,
Djibouti,
Eritrea,
Western Sahara,
Estonia,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Guernsey,
Gibraltar,
Guinea,
Equatorial Guinea,
Greenland,
French Guiana,
Heard & McDonald Islands,
Isle of Man,
Jersey,
Kiribati,
St. Kitts & Nevis,
Liberia,
Liechtenstein,
Monaco,
North Macedonia,
Montenegro,
Northern Mariana Islands,
Mozambique,
Montserrat,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
Paraguay,
Palestine,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
South Sudan,
São Tomé & Príncipe,
Suriname,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Yemen,
