Category: All categories

Country,quillbot: (1/1/04 - 11/22/22)
Philippines,100
Kiribati,
Bhutan,
American Samoa,
Fiji,28
Maldives,21
Tonga,
Botswana,
Ghana,17
Sri Lanka,17
Zimbabwe,16
Solomon Islands,
Samoa,
Ethiopia,14
Guyana,
Namibia,
Malaysia,12
Jamaica,11
Somalia,
Rwanda,
Brunei,
Mauritius,9
St. Vincent & Grenadines,
Belize,
Kenya,9
South Africa,9
Lesotho,
Pakistan,8
Bangladesh,7
Nepal,7
British Virgin Islands,
Oman,7
Bahrain,7
Malawi,
St. Lucia,
Sierra Leone,
Papua New Guinea,
United Arab Emirates,6
Dominica,
Turks & Caicos Islands,
Trinidad & Tobago,5
Nigeria,5
Zambia,
Antigua & Barbuda,
Qatar,5
U.S. Virgin Islands,
Grenada,
Cambodia,5
Seychelles,
Northern Mariana Islands,
Gambia,
Eswatini,
Myanmar (Burma),
Liberia,
Lebanon,4
Cayman Islands,
Egypt,3
Bahamas,
Malta,
Tanzania,
India,3
Barbados,
Uganda,
Australia,2
Afghanistan,
St. Kitts & Nevis,
Iraq,2
Laos,
Kuwait,2
Singapore,2
Canada,2
New Zealand,2
Guam,
Ireland,2
Jordan,2
Palestine,
Cyprus,
Uzbekistan,
Vietnam,1
Thailand,1
United Kingdom,1
St. Helena,
Hong Kong,1
Togo,
Saudi Arabia,1
Indonesia,1
Benin,
Cameroon,
Macao,
Kosovo,
Morocco,1
Libya,
Azerbaijan,
United States,1
Albania,
Mongolia,
Algeria,
Madagascar,
Sudan,
North Macedonia,
Puerto Rico,
Georgia,
Tunisia,
Iceland,
Luxembourg,
Congo - Kinshasa,
Panama,
Mozambique,
South Korea,<1
Yemen,
Honduras,
Romania,<1
Dominican Republic,
Armenia,
China,
Côte d’Ivoire,
Norway,
Nicaragua,
Bosnia & Herzegovina,
Netherlands,<1
Latvia,
Kyrgyzstan,
Sweden,
Greece,
Turkey,<1
Lithuania,
Ecuador,
Estonia,
Portugal,
Brazil,<1
Iran,
Kazakhstan,
Syria,
Israel,
Moldova,
El Salvador,
Guatemala,
Serbia,
Peru,
Switzerland,
Denmark,
Hungary,
Taiwan,
Croatia,
Senegal,
Colombia,
Costa Rica,
Bulgaria,
Belgium,
Finland,
Argentina,
Bolivia,
Czechia,
Germany,<1
Austria,
Slovenia,
Mexico,<1
Uruguay,
Slovakia,
Paraguay,
Italy,<1
Poland,
Venezuela,
France,<1
Spain,
Chile,
Japan,
Ukraine,
Russia,
French Southern Territories,
Niue,
Antarctica,
Tuvalu,
British Indian Ocean Territory,
Montserrat,
Cook Islands,
Palau,
Micronesia,
Marshall Islands,
Caribbean Netherlands,
Vanuatu,
Anguilla,
Sint Maarten,
Gibraltar,
Timor-Leste,
Aruba,
South Sudan,
Curaçao,
Bermuda,
Isle of Man,
Congo - Brazzaville,
Gabon,
Tajikistan,
Suriname,
Haiti,
Mali,
Niger,
Burundi,
Andorra,
Burkina Faso,
Turkmenistan,
Guinea,
Mauritania,
Angola,
French Polynesia,
Martinique,
Montenegro,
Réunion,
Belarus,
Åland Islands,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Guernsey,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
French Guiana,
Heard & McDonald Islands,
Jersey,
Liechtenstein,
St. Martin,
Monaco,
Mayotte,
New Caledonia,
Norfolk Island,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Chad,
Tokelau,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
